,precision,recall,f1-score,support
AnnualCrop,0.8542600896860987,0.8466666666666667,0.8504464285714286,450.0
Forest,0.8553971486761711,0.9333333333333333,0.8926673751328374,450.0
HerbaceousVegetation,0.8360655737704918,0.7933333333333333,0.814139110604333,450.0
Highway,0.7272727272727273,0.6186666666666667,0.6685878962536023,375.0
Industrial,0.8994708994708994,0.9066666666666666,0.9030544488711819,375.0
Pasture,0.796923076923077,0.8633333333333333,0.8288,300.0
PermanentCrop,0.6523702031602708,0.7706666666666667,0.706601466992665,375.0
Residential,0.8643724696356275,0.9488888888888889,0.9046610169491526,450.0
River,0.823170731707317,0.72,0.7681365576102418,375.0
SeaLake,0.9473684210526315,0.84,0.8904593639575972,450.0
accuracy,0.8279012345679012,0.8279012345679012,0.8279012345679012,0.8279012345679012
macro avg,0.8256671341355313,0.8241555555555555,0.8227553664943039,4050.0
weighted avg,0.830442543197676,0.8279012345679012,0.8270618818505657,4050.0
