,precision,recall,f1-score,support
AnnualCrop,0.8883610451306413,0.8311111111111111,0.8587830080367393,450.0
Forest,0.9205607476635514,0.8755555555555555,0.89749430523918,450.0
HerbaceousVegetation,0.8467336683417085,0.7488888888888889,0.7948113207547169,450.0
Highway,0.6470588235294118,0.5573333333333333,0.5988538681948424,375.0
Industrial,0.8854961832061069,0.928,0.90625,375.0
Pasture,0.8104575163398693,0.8266666666666667,0.8184818481848185,300.0
PermanentCrop,0.739612188365651,0.712,0.7255434782608695,375.0
Residential,0.8164794007490637,0.9688888888888889,0.8861788617886179,450.0
River,0.6866359447004609,0.7946666666666666,0.7367119901112484,375.0
SeaLake,0.9137168141592921,0.9177777777777778,0.9157427937915743,450.0
accuracy,0.8207407407407408,0.8207407407407408,0.8207407407407408,0.8207407407407408
macro avg,0.8155112332185757,0.8160888888888888,0.8138851474362607,4050.0
weighted avg,0.8213139966783921,0.8207407407407408,0.8190515891340564,4050.0
