,precision,recall,f1-score,support
AnnualCrop,0.968609865470852,0.96,0.9642857142857143,450.0
Forest,0.978021978021978,0.9888888888888889,0.9834254143646409,450.0
HerbaceousVegetation,0.956140350877193,0.9688888888888889,0.9624724061810155,450.0
Highway,0.9278350515463918,0.96,0.9436435124508519,375.0
Industrial,0.973753280839895,0.9893333333333333,0.9814814814814815,375.0
Pasture,0.9565217391304348,0.9533333333333334,0.9549248747913188,300.0
PermanentCrop,0.9489247311827957,0.9413333333333334,0.9451137884872824,375.0
Residential,0.9887640449438202,0.9777777777777777,0.9832402234636871,450.0
River,0.9561643835616438,0.9306666666666666,0.9432432432432433,375.0
SeaLake,0.9954853273137697,0.98,0.9876819708846585,450.0
accuracy,0.9661728395061728,0.9661728395061728,0.9661728395061728,0.9661728395061728
macro avg,0.9650220752888774,0.9650222222222222,0.9649512629633895,4050.0
weighted avg,0.9663259924433527,0.9661728395061728,0.9661804444918124,4050.0
