,precision,recall,f1-score,support
AnnualCrop,0.9391304347826087,0.96,0.9494505494505494,450.0
Forest,0.978021978021978,0.9888888888888889,0.9834254143646409,450.0
HerbaceousVegetation,0.9445676274944568,0.9466666666666667,0.9456159822419534,450.0
Highway,0.956989247311828,0.9493333333333334,0.9531459170013387,375.0
Industrial,0.9838274932614556,0.9733333333333334,0.9785522788203753,375.0
Pasture,0.9264214046822743,0.9233333333333333,0.9248747913188647,300.0
PermanentCrop,0.9296875,0.952,0.9407114624505929,375.0
Residential,0.9821826280623608,0.98,0.9810901001112347,450.0
River,0.9641873278236914,0.9333333333333333,0.948509485094851,375.0
SeaLake,0.9932735426008968,0.9844444444444445,0.9888392857142857,450.0
accuracy,0.9609876543209876,0.9609876543209876,0.9609876543209876,0.9609876543209876
macro avg,0.959828918404155,0.9591333333333333,0.9594215266568688,4050.0
weighted avg,0.9611518653053293,0.9609876543209876,0.9610115346927264,4050.0
