,precision,recall,f1-score,support
AnnualCrop,0.9383259911894273,0.9466666666666667,0.9424778761061947,450.0
Forest,0.9799107142857143,0.9755555555555555,0.977728285077951,450.0
HerbaceousVegetation,0.946067415730337,0.9355555555555556,0.9407821229050279,450.0
Highway,0.9238578680203046,0.9706666666666667,0.9466840052015605,375.0
Industrial,0.9662337662337662,0.992,0.9789473684210527,375.0
Pasture,0.9574468085106383,0.9,0.9278350515463918,300.0
PermanentCrop,0.922077922077922,0.9466666666666667,0.9342105263157895,375.0
Residential,0.990990990990991,0.9777777777777777,0.9843400447427293,450.0
River,0.9487870619946092,0.9386666666666666,0.9436997319034852,375.0
SeaLake,0.995475113122172,0.9777777777777777,0.9865470852017937,450.0
accuracy,0.9577777777777777,0.9577777777777777,0.9577777777777777,0.9577777777777777
macro avg,0.9569173652155882,0.9561333333333334,0.9563252097421977,4050.0
weighted avg,0.9581331792145817,0.9577777777777777,0.9577833490666144,4050.0
